action,subject,trial,frame,skeleton_joint,x,y,z
11.0, 7, 3, 0, 1,0.7736192, 0.8224689, 3.079535
11.0, 7, 3, 0, 2,0.8187171, 0.6477849, 3.058205
11.0, 7, 3, 0, 3,0.7581708, 0.2505125, 2.985463
11.0, 7, 3, 0, 4,0.6884781, 0.5130029, 3.163193
11.0, 7, 3, 0, 5,0.8851267, 0.5027863, 2.931877
11.0, 7, 3, 0, 6,0.5975253, -0.06902348, 3.028146
11.0, 7, 3, 0, 7,0.8102633, -0.03506356, 2.740534
11.0, 7, 3, 0, 8,0.7460615, 0.1710581, 2.974597
11.0, 7, 3, 0, 9,0.6921091, 0.1096685, 3.010007
11.0, 7, 3, 0, 10,0.780601, 0.105071, 2.912822
11.0, 7, 3, 0, 11,0.7172281, -0.3840754, 3.065131
11.0, 7, 3, 0, 12,0.8738154, -0.3481513, 2.835708
11.0, 7, 3, 0, 13,0.7149896, -0.7487299, 3.088299
11.0, 7, 3, 0, 14,0.9040673, -0.6995009, 2.767626
11.0, 7, 3, 0, 15,0.6714469, -0.8232831, 3.053469
11.0, 7, 3, 0, 16,0.8601846, -0.7925213, 2.715513
11.0, 7, 3, 1, 1,0.7727847, 0.8218889, 3.078068
11.0, 7, 3, 1, 2,0.8187627, 0.6479715, 3.058253
11.0, 7, 3, 1, 3,0.7581645, 0.250551, 2.98537
11.0, 7, 3, 1, 4,0.6884957, 0.5128971, 3.16314
11.0, 7, 3, 1, 5,0.8855833, 0.5034322, 2.932064
11.0, 7, 3, 1, 6,0.5952775, -0.08166252, 3.024445
11.0, 7, 3, 1, 7,0.8145844, -0.02306115, 2.743277
11.0, 7, 3, 1, 8,0.7460425, 0.1710677, 2.974449
11.0, 7, 3, 1, 9,0.6920058, 0.1095005, 3.009772
11.0, 7, 3, 1, 10,0.7806302, 0.1051755, 2.91258
11.0, 7, 3, 1, 11,0.7172208, -0.383808, 3.064745
11.0, 7, 3, 1, 12,0.8736851, -0.3484556, 2.835727
11.0, 7, 3, 1, 13,0.716212, -0.7467697, 3.090613
11.0, 7, 3, 1, 14,0.9042466, -0.6994796, 2.767625
11.0, 7, 3, 1, 15,0.6664373, -0.8204081, 3.059469
11.0, 7, 3, 1, 16,0.8602665, -0.792451, 2.715492
11.0, 7, 3, 2, 1,0.7728601, 0.8218242, 3.07787
11.0, 7, 3, 2, 2,0.8193898, 0.6481209, 3.058301
11.0, 7, 3, 2, 3,0.7582003, 0.2507062, 2.985198
11.0, 7, 3, 2, 4,0.6886503, 0.513342, 3.162818
11.0, 7, 3, 2, 5,0.8857896, 0.5035293, 2.931872
11.0, 7, 3, 2, 6,0.6018084, -0.03326433, 3.038056
11.0, 7, 3, 2, 7,0.816868, -0.02329426, 2.74578
11.0, 7, 3, 2, 8,0.7460223, 0.1712571, 2.974242
11.0, 7, 3, 2, 9,0.6918772, 0.1098577, 3.009476
11.0, 7, 3, 2, 10,0.7805905, 0.1053274, 2.912395
11.0, 7, 3, 2, 11,0.7172488, -0.3836929, 3.064675
11.0, 7, 3, 2, 12,0.8735713, -0.3484568, 2.83532
11.0, 7, 3, 2, 13,0.7165701, -0.7433203, 3.089625
11.0, 7, 3, 2, 14,0.9046483, -0.6992587, 2.768632
11.0, 7, 3, 2, 15,0.6634474, -0.8162591, 3.065247
11.0, 7, 3, 2, 16,0.860386, -0.7924017, 2.715544
11.0, 7, 3, 3, 1,0.7730995, 0.8224536, 3.078625
11.0, 7, 3, 3, 2,0.8196839, 0.6499463, 3.058969
11.0, 7, 3, 3, 3,0.7581975, 0.2507762, 2.985182
11.0, 7, 3, 3, 4,0.688665, 0.5133511, 3.162808
11.0, 7, 3, 3, 5,0.8857496, 0.5044028, 2.932138
11.0, 7, 3, 3, 6,0.6014655, -0.03487992, 3.038294
11.0, 7, 3, 3, 7,0.8113511, -0.03143239, 2.738744
11.0, 7, 3, 3, 8,0.7460089, 0.1712663, 2.974209
11.0, 7, 3, 3, 9,0.6918833, 0.1099766, 3.009095
11.0, 7, 3, 3, 10,0.7805565, 0.1057101, 2.912582
11.0, 7, 3, 3, 11,0.7171682, -0.3844553, 3.064625
11.0, 7, 3, 3, 12,0.8732582, -0.3505816, 2.835078
11.0, 7, 3, 3, 13,0.716538, -0.7436028, 3.089816
11.0, 7, 3, 3, 14,0.903798, -0.703401, 2.765512
